127.0.0.1, 2015-02-07 16:50:57, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.235000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:50:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-02-07 16:50:59, GET, /admin/default/index, HTTP/1.1, 200, 0.114000
127.0.0.1, 2015-02-07 16:50:59, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-07 16:50:59, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-07 16:50:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-02-07 16:51:01, POST, /admin/default/index, HTTP/1.1, 303, 0.041000
127.0.0.1, 2015-02-07 16:51:01, GET, /admin/default/site, HTTP/1.1, 200, 0.050000
127.0.0.1, 2015-02-07 16:51:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-02-07 16:51:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-02-07 16:51:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.565000
127.0.0.1, 2015-02-07 16:51:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-02-07 16:51:06, POST, /admin/default/site, HTTP/1.1, 303, 0.129000
127.0.0.1, 2015-02-07 16:51:07, GET, /admin/default/design/hellworld, HTTP/1.1, 200, 0.213000
127.0.0.1, 2015-02-07 16:51:07, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-07 16:51:07, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-02-07 16:51:07, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-07 16:51:07, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-02-07 16:51:07, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-02-07 16:51:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-02-07 16:51:44, POST, /admin/default/upload_file, HTTP/1.1, 303, 0.081000
127.0.0.1, 2015-02-07 16:51:44, GET, /admin/default/design/hellworld, HTTP/1.1, 200, 0.121000
127.0.0.1, 2015-02-07 16:51:44, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-02-07 16:51:44, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-02-07 16:51:44, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-02-07 16:51:44, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-02-07 16:51:44, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-02-07 16:51:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-02-07 16:51:56, POST, /admin/default/upload_file, HTTP/1.1, 303, 0.057000
127.0.0.1, 2015-02-07 16:51:56, GET, /admin/default/design/hellworld, HTTP/1.1, 200, 0.127000
127.0.0.1, 2015-02-07 16:51:56, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-02-07 16:51:56, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-02-07 16:51:56, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-02-07 16:51:56, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-02-07 16:51:56, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-02-07 16:51:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
